"a","b","tBCB","r_MDA","minref","freq1","lam1","maxtrans","freq2","lam2"
0.831,0.126,0.783,0.75833,0.56718,47.82,6.2735,0.68336,47.78,6.2788
0.765,0.768,0.82,0.69222,0.50335,47.82,6.2735,0.72226,47.78,6.2788
0.395,0.815,0.433,0.62167,0.3353,47.64,6.2972,0.80047,47.6,6.3025
0.772,0.476,0.658,0.69111,0.31654,47.82,6.2735,0.79448,47.76,6.2814
0.682,0.317,0.865,0.71944,0.56735,47.82,6.2735,0.68709,47.78,6.2788
0.628,0.839,0.514,0.72056,0.22205,47.76,6.2814,0.81906,47.7,6.2893
0.855,0.519,0.804,0.69333,0.4823,47.82,6.2735,0.73201,47.78,6.2788
0.875,0.139,0.276,0.72778,0.31659,47.62,6.2999,0.80899,47.58,6.3052
0.59,0.22,0.708,0.76889,0.47091,47.88,6.2657,0.73136,47.84,6.2709
0.175,0.088,0.87,0.73167,0.9221,40,7.5,0.7037,47.82,6.2735
0.108,0.494,0.113,0.63444,0.45486,47.62,6.2999,0.73227,47.6,6.3025
0.895,0.433,0.483,0.67778,0.26687,47.7,6.2893,0.81618,47.64,6.2972
0.051,0.732,0.217,0.63167,0.44105,47.62,6.2999,0.7569,47.6,6.3025
0.234,0.871,0.164,0.725,0.36343,47.6,6.3025,0.78045,47.58,6.3052
0.164,0.106,0.515,0.69722,0.0024498,47.7,6.2893,0.84596,47.62,6.2999
0.436,0.857,0.839,0.645,0.4234,47.82,6.2735,0.76003,47.78,6.2788
0.72,0.155,0.461,0.74222,0.10997,47.76,6.2814,0.83785,47.68,6.2919
0.518,0.891,0.135,0.67278,0.56018,47.7,6.2893,0.69972,47.66,6.2946
0.126,0.11,0.225,0.765,0.046341,46.72,6.4212,0.84487,46.72,6.4212
0.346,0.707,0.849,0.73111,0.55711,47.84,6.2709,0.69251,47.8,6.2762
0.144,0.041,0.27,0.72611,0.023253,47.1,6.3694,0.8519,47.06,6.3748
0.512,0.045,0.701,0.72278,0.33696,47.88,6.2657,0.78448,47.82,6.2735
0.556,0.173,0.143,0.71889,0.38814,47.5,6.3158,0.78074,47.48,6.3184
0.029,0.31,0.316,0.68167,0.12466,47.36,6.3345,0.84683,47.32,6.3398
0.768,0.283,0.684,0.74056,0.40383,47.86,6.2683,0.7606,47.82,6.2735
0.592,0.153,0.868,0.71278,0.54501,47.84,6.2709,0.70003,47.8,6.2762
0.455,0.622,0.188,0.64722,0.49672,47.66,6.2946,0.73223,47.64,6.2972
0.862,0.42,0.28,0.74611,0.31502,47.64,6.2972,0.80588,47.58,6.3052
0.797,0.186,0.711,0.63667,0.3072,47.8,6.2762,0.80105,47.74,6.284
0.583,0.097,0.249,0.70278,0.31633,47.56,6.3078,0.80991,47.52,6.3131
0.289,0.599,0.629,0.63611,0.21437,47.76,6.2814,0.82547,47.7,6.2893
0.44,0.233,0.852,0.76556,0.92894,40,7.5,0.65457,47.78,6.2788
0.101,0.175,0.671,0.75722,0.27951,47.92,6.2604,0.79648,47.88,6.2657
0.204,0.712,0.265,0.74833,0.12575,47.48,6.3184,0.84018,47.44,6.3238
0.213,0.344,0.138,0.64889,0.3874,47.44,6.3238,0.77152,47.42,6.3264
0.415,0.474,0.493,0.755,0.055116,47.86,6.2683,0.83574,47.78,6.2788
0.712,0.119,0.174,0.66833,0.49016,47.62,6.2999,0.74122,47.58,6.3052
0.799,0.043,0.882,0.62833,0.44312,47.82,6.2735,0.75252,47.78,6.2788
0.013,0.608,0.833,0.64167,0.3767,47.82,6.2735,0.77731,47.78,6.2788
0.007,0,0.435,0.645,0.10416,47.5,6.3158,0.8494,47.44,6.3238
0.022,0.635,0.579,0.68667,0.12274,47.78,6.2788,0.83609,47.72,6.2867
0.13,0.018,0.602,0.67944,0.082853,47.8,6.2762,0.83977,47.72,6.2867
0.094,0.054,0.191,0.67556,0.22232,47.08,6.3721,0.82464,47.04,6.3776
0.819,0.792,0.203,0.62778,0.58962,47.7,6.2893,0.68568,47.66,6.2946
0.673,0.319,0.501,0.68444,0.20237,47.72,6.2867,0.82895,47.66,6.2946
0.483,0.184,0.363,0.65111,0.27179,47.56,6.3078,0.82082,47.52,6.3131
0.848,0.664,0.26,0.76222,0.36315,47.66,6.2946,0.78835,47.62,6.2999
0.62,0.193,0.706,0.63944,0.28421,47.8,6.2762,0.80717,47.74,6.284
0.435,0.285,0.876,0.73833,0.58612,47.84,6.2709,0.67556,47.8,6.2762
0.247,0.812,0.605,0.76556,0.25696,47.9,6.263,0.80143,47.84,6.2709
0.646,0.559,0.482,0.675,0.25199,47.7,6.2893,0.81977,47.64,6.2972
0.272,0.445,0.732,0.63722,0.26874,47.82,6.2735,0.81038,47.76,6.2814
0.341,0.415,0.166,0.685,0.36359,47.52,6.3131,0.78354,47.48,6.3184
0.283,0.159,0.775,0.61667,0.2826,47.8,6.2762,0.80762,47.76,6.2814
0.148,0.005,0.405,0.70889,0.038956,47.46,6.3211,0.85211,47.4,6.3291
0.676,0.427,0.547,0.76778,0.23967,47.88,6.2657,0.80573,47.82,6.2735
0.054,0.377,0.584,0.69944,0.079804,47.82,6.2735,0.83808,47.74,6.284
0.543,0.848,0.557,0.77,0.27213,47.88,6.2657,0.79811,47.82,6.2735
0.707,0.413,0.393,0.66611,0.32503,47.66,6.2946,0.80437,47.62,6.2999
0.77,0.575,0.296,0.64278,0.48752,47.66,6.2946,0.74221,47.64,6.2972
0.242,0.646,0.889,0.63667,0.4391,47.82,6.2735,0.75415,47.78,6.2788
0.898,0.011,0.223,0.69333,0.43923,47.64,6.2972,0.76664,47.6,6.3025
0.335,0.862,0.389,0.76167,0.021507,47.7,6.2893,0.84413,47.64,6.2972
0.379,0.328,0.268,0.72222,0.16904,47.44,6.3238,0.83851,47.4,6.3291
0.15,0.177,0.195,0.64111,0.31173,47.3,6.3425,0.806,47.26,6.3479
0.667,0.292,0.22,0.765,0.26328,47.56,6.3078,0.82095,47.52,6.3131
0.359,0.079,0.124,0.76,0.22313,47.06,6.3748,0.80898,47.06,6.3748
